Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",153.670000,-85.090000,90.000000,top
"C2","100nF","C_0603_1608Metric",155.575000,-85.090000,90.000000,top
"J1","Micro_SD_Card_Det2","microSD_HC_Hirose_DM3D-SF",166.407500,-95.230000,90.000000,top
"J2","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",147.955000,-85.090000,0.000000,top
"R1","4k7","R_0603_1608Metric",153.670000,-90.170000,-90.000000,top
"R2","4k7","R_0603_1608Metric",155.575000,-90.170000,-90.000000,top
"R3","4k7","R_0603_1608Metric",157.480000,-90.170000,-90.000000,top
"R4","4k7","R_0603_1608Metric",153.670000,-96.520000,-90.000000,top
"R5","4k7","R_0603_1608Metric",155.575000,-96.520000,-90.000000,top
"R6","4k7","R_0603_1608Metric",157.480000,-96.520000,-90.000000,top
